Molecule_ID,Composition
1710,H4He2
1711,H2He4
1712,H2He4
1713,n2He4
1714,HHe5
1715,H4He2
1716,H2He4
1717,H4He2
1718,n2He4
1719,H2He4
1720,nHe5
1721,nHe4Li
1722,HHe5
1723,H6
1724,H2He4
1725,HHe5
1726,H4He2
1727,H2He2Li2
1728,H2He4
1729,H2He4
1730,HHe5
1731,H2He4
1732,H2Li4
1733,H2He4
1734,H4He2
1735,n2He4
1736,n2Li4
1737,H4He2
1738,n2He4
1739,H2He4
1740,H2Li2Be2
1741,H2He4
1742,H2Li2Be2
1743,H2Li4
1744,nHe5
1745,HHe5
1746,H4He2
1747,HHe4Li
1748,H2He4
1749,H4He2
1750,H2He4
1751,HHe5
1752,HHe5
1753,H2He4
1754,nHe4Li
1755,n2He4
1756,HHe5
1757,H2He4
1758,HHe5
1759,n2He4
1760,H2He4
1761,n2He4
1762,H2He4
1763,HHe4Li
1764,HHe5
1765,HHe5
1766,H2He4
1767,HHe4Li
1768,HHe5
1769,HHe5
1770,n2He4
1771,H2He4
1772,H2He4
1773,HHe4Li
1774,H2He4
1775,H2He4
1776,HHe4Li
1777,H2He4
1778,H2He4
1779,H2He4
1780,HHe4Li
1781,H2He4
1782,nHe4Li
1783,HHe4Li
1784,HHe4Li
1785,n2He4
1786,HHe4Li
1787,H2He4
1788,H2He4
1789,H2He4
1790,HHe5
1791,HHe4Li
1792,n2He4
1793,H2He4
1794,H2He4
1795,HHe4Li
1796,H2He4
1797,H2He4
1798,nHe5
1799,H2He4
1800,H2He4
1801,H4He2
1802,H2He4
1803,H2He4
1804,HHe5
1805,n2He4
1806,H2He4
1807,HHe4Li
1808,H2He4
1809,n2He4
1810,H2He4
1811,H2He4
1812,HHe5
1813,H2He4
1814,HHe5
1815,H2He4
1816,n2He4
1817,H2He4
1818,HHe5
1819,H2He4
1820,H4He2
1821,HHe5
1822,H2He4
1823,HHe5
1824,H2He4
1825,HHe5
1826,H2He4
1827,H2He4
1828,H2He4
1829,H2He4
1830,n2He4
1831,H2He4
1832,H2He4
1833,HHe5
1834,nHe5
1835,H2He4
1836,H2He4
1837,H2Li2Be2
1838,H2He4
1839,H2He4
1840,H4He2
1841,n2He4
1842,H2He4
1843,n2He4
1844,n2He4
1845,H2He4
1846,H2He4
1847,H2Li2Be2
1848,HHe5
1849,H2He4
1850,H2He4
1851,n2H2He2
1852,H2Li2Be2
